ab -n 100000 -c 100 -s 999 http://localhost:18080/

4 WORKERS

http_front,FRONTEND,,,100,116,524238,115,1290,1875,0,0,0,,,,,OPEN,,,,,,,,,1,2,0,,116,,0,0,0,100,,,,0,15,0,0,0,0,,0,100,115,116,116,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,100,115,0,0,0,0,,,0,0,,,,,,,0,,,,,,,,,,0,115,0,0,0,115,0,0,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,115,115,9545,2115,0,0,
web_workers,worker-1,1,1,1,1,1,7,516,750,,0,,0,0,0,0,UP,1,1,0,0,0,118,9,1,1,3,1,,3,,2,0,,1,L4OK,,0,0,6,0,0,0,0,,,,6,0,0,,,,,12,,,22681,1,13682,36364,,,,Layer4 check passed,,2,3,4,,,,192.168.122.170:80,,http,,,,,,,,0,7,0,,,0,,54706,1,14106,68812,0,0,0,1,2,1,,,,0,,,,,,,,,,-,0,0,0,,,,,,,,,,,,,,,,,,,,,,
web_workers,worker-2,1,1,1,2,1,6,430,625,,0,,0,0,0,0,UP,1,1,0,0,0,108,19,1,1,3,2,,3,,2,0,,2,L4OK,,0,0,5,0,0,0,0,,,,5,0,0,,,,,12,,,24879,3,19394,44276,,,,Layer4 check passed,,2,3,4,,,,192.168.122.70:80,,http,,,,,,,,0,6,0,,,0,,55439,7,27443,69548,0,0,0,1,3,1,,,,0,,,,,,,,,,-,0,0,0,,,,,,,,,,,,,,,,,,,,,,
web_workers,worker-3,1,1,1,2,1,5,344,500,,0,,0,0,0,0,UP,1,1,0,0,0,69,58,1,1,3,3,,2,,2,0,,1,L4OK,,0,0,4,0,0,0,0,,,,4,0,0,,,,,13,,,26660,0,20350,47010,,,,Layer4 check passed,,2,3,4,,,,192.168.122.149:80,,http,,,,,,,,0,5,0,,,0,,54028,0,26730,68153,0,0,0,1,3,1,,,,0,,,,,,,,,,-,0,0,0,,,,,,,,,,,,,,,,,,,,,,
web_workers,worker-4,1,1,2,2,1,2,0,0,,0,,0,0,0,0,UP,1,1,0,0,0,27,100,1,1,3,4,,2,,2,0,,2,L4OK,,0,0,0,0,0,0,0,,,,0,0,0,,,,,27,,,0,0,0,0,,,,Layer4 check passed,,2,3,4,,,,192.168.122.19:80,,http,,,,,,,,0,2,0,,,0,,0,0,0,0,0,0,0,2,3,1,,,,0,,,,,,,,,,-,0,0,0,,,,,,,,,,,,,,,,,,,,,,
web_workers,worker-5,0,0,0,0,1,0,0,0,,0,,0,0,0,0,MAINT,1,1,0,0,0,127,127,1,1,3,5,,0,,2,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,,,,,-1,,,0,0,0,0,,,,,,,,,,,,127.0.0.1:1,,http,,,,,,,,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,1,,,,0,,,,,,,,,,-,0,0,0,,,,,,,,,,,,,,,,,,,,,,
web_workers,worker-6,0,0,0,0,1,0,0,0,,0,,0,0,0,0,MAINT,1,1,0,0,0,127,127,1,1,3,6,,0,,2,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,,,,,-1,,,0,0,0,0,,,,,,,,,,,,127.0.0.1:1,,http,,,,,,,,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,1,,,,0,,,,,,,,,,-,0,0,0,,,,,,,,,,,,,,,,,,,,,,
web_workers,BACKEND,91,96,100,100,52424,115,1290,1875,0,0,,0,0,0,0,UP,4,4,0,,0,118,9,,1,3,0,,10,,1,0,,100,,,,0,15,0,0,0,0,,,,15,0,0,0,0,0,0,27,,,24475,1,17364,41840,,,,,,,,,,,,,,http,leastconn,,,,,,,0,20,0,0,0,,,55439,7,27443,69548,0,,,,,4,0,0,0,,,,,,,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,20,20,2115,2140,0,0,

5 WORKERS

http_front,FRONTEND,,,100,116,524238,132,2752,4000,0,0,0,,,,,OPEN,,,,,,,,,1,2,0,,116,,0,0,0,100,,,,0,32,0,0,0,0,,0,100,132,116,116,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,100,132,0,0,0,0,,,0,0,,,,,,,0,,,,,,,,,,0,132,0,0,0,132,0,0,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,132,132,10956,4512,0,0,
web_workers,worker-1,1,1,1,1,1,11,860,1250,,0,,0,0,0,0,UP,1,1,0,0,0,171,9,1,1,3,1,,3,,2,0,,1,L4OK,,0,0,10,0,0,0,0,,,,10,0,0,,,,,9,,,49586,1,13873,63460,,,,Layer4 check passed,,2,3,4,,,,192.168.122.170:80,,http,,,,,,,,0,11,0,,,0,,111110,1,14336,125446,0,0,0,1,2,1,,,,0,,,,,,,,,,-,0,0,0,,,,,,,,,,,,,,,,,,,,,,
web_workers,worker-2,1,1,1,2,1,10,774,1125,,0,,0,0,0,0,UP,1,1,0,0,0,161,19,1,1,3,2,,3,,2,0,,2,L4OK,,0,0,9,0,0,0,0,,,,9,0,0,,,,,8,,,54156,2,17102,71260,,,,Layer4 check passed,,2,3,4,,,,192.168.122.70:80,,http,,,,,,,,0,10,0,,,0,,112095,7,27443,126497,0,0,0,1,3,1,,,,0,,,,,,,,,,-,0,0,0,,,,,,,,,,,,,,,,,,,,,,
web_workers,worker-3,1,1,1,2,1,9,688,1000,,0,,0,0,0,0,UP,1,1,0,0,0,122,58,1,1,3,3,,2,,2,0,,1,L4OK,,0,0,8,0,0,0,0,,,,8,0,0,,,,,9,,,58056,0,17286,75342,,,,Layer4 check passed,,2,3,4,,,,192.168.122.149:80,,http,,,,,,,,0,9,0,,,0,,110762,0,26730,125038,0,0,0,1,3,1,,,,0,,,,,,,,,,-,0,0,0,,,,,,,,,,,,,,,,,,,,,,
web_workers,worker-4,1,1,1,2,1,6,430,625,,0,,0,0,0,0,UP,1,1,0,0,0,80,100,1,1,3,4,,2,,2,0,,2,L4OK,,0,0,5,0,0,0,0,,,,5,0,0,,,,,10,,,68748,1,19513,88260,,,,Layer4 check passed,,2,3,4,,,,192.168.122.19:80,,http,,,,,,,,0,6,0,,,0,,110316,1,27752,124532,0,0,0,1,3,1,,,,0,,,,,,,,,,-,0,0,0,,,,,,,,,,,,,,,,,,,,,,
web_workers,worker-5,1,1,3,3,1,3,0,0,,0,,0,0,0,0,UP,1,1,0,1,1,27,151,1,1,3,5,,2,,2,0,,1,L4OK,,0,0,0,0,0,0,0,,,,0,0,0,,,,,24,,,0,0,0,0,,,,Layer4 check passed,,2,3,4,,,,192.168.122.250:80,,http,,,,,,,,0,3,0,,,0,,0,0,0,0,0,0,0,3,4,1,,,,0,,,,,,,,,,-,0,0,0,,,,,,,,,,,,,,,,,,,,,,
web_workers,worker-6,0,0,0,0,1,0,0,0,,0,,0,0,0,0,MAINT,1,1,0,0,0,180,180,1,1,3,6,,0,,2,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,,,,,-1,,,0,0,0,0,,,,,,,,,,,,127.0.0.1:1,,http,,,,,,,,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,1,,,,0,,,,,,,,,,-,0,0,0,,,,,,,,,,,,,,,,,,,,,,
